"SWOT.Cats","Negotiation.phase","msg.number","Message"
"O VI","PrepCom",136,"treaty"
"O VI","PrepCom",136,"system’s"
"O VI","PrepCom",136,"approach"
"O VI","PrepCom",136,"spatial"
"O VI","PrepCom",136,"conservation"
"O VI","PrepCom",136,"management"
"O VI","PrepCom",136,"examples"
"O VI","PrepCom",136,"preparatory"
"O VI","PrepCom",136,"committee"
"O VI","PrepCom",136,"refer"
"O VI","PrepCom",136,"development"
"O VI","PrepCom",136,"ilbi"
"O VI","PrepCom",137,"views"
"O VI","PrepCom",137,"developing"
"O VI","PrepCom",137,"unclos"
"O VI","PrepCom",137,"implemented"
"O VI","PrepCom",137,"revitalize"
"O VI","PrepCom",137,"concepts"
"O VI","PrepCom",137,"developed"
"O VI","PrepCom",137,"unclos"
"O II","PrepCom",138,"include"
"O II","PrepCom",138,"funding"
"O II","PrepCom",138,"mechanisms"
"O II","PrepCom",138,"institutional"
"O II","PrepCom",138,"arrangements"
"O II","PrepCom",138,"ensure"
"O II","PrepCom",138,"effectiveness"
"O III","PrepCom",139,"implement"
"O III","PrepCom",139,"strong"
"O III","PrepCom",139,"complementary"
"O III","PrepCom",139,"protection"
"O III","PrepCom",139,"measures"
"O III","PrepCom",139,"mpa"
"O III","PrepCom",139,"boundaries"
"O III","PrepCom",139,"dynamic"
"O III","PrepCom",139,"management"
"O III","PrepCom",139,"effective"
"O III","PrepCom",139,"fisheries"
"O III","PrepCom",139,"regulation"
"O III","PrepCom",139,"increasingly"
"O III","PrepCom",139,"precautionary"
"O III","PrepCom",139,"regulation"
"O III","PrepCom",139,"emerging"
"O III","PrepCom",139,"activities"
"O III","PrepCom",139,"mobile"
"O III","PrepCom",139,"species"
"S III","PrepCom",140,"integrated"
"S III","PrepCom",140,"approach"
"S III","PrepCom",140,"mandate"
"S III","PrepCom",140,"prepcom"
"O I","PrepCom",141,"mandate"
"O I","PrepCom",141,"science"
"O II","PrepCom",142,"involve"
"O II","PrepCom",142,"stakeholders"
"O II","PrepCom",142,"ranging"
"O II","PrepCom",142,"public"
"O II","PrepCom",142,"law"
"O II","PrepCom",142,"sea"
"O II","PrepCom",142,"experts"
"O II","PrepCom",142,"intellectual"
"O II","PrepCom",142,"property"
"O II","PrepCom",142,"rights"
"O II","PrepCom",142,"experts"
"O II","PrepCom",142,"comprehensive"
"O II","PrepCom",142,"view"
"O II","PrepCom",142,"national"
"S III","PrepCom",143,"potential"
"S III","PrepCom",143,"establishment"
"S III","PrepCom",143,"mpas"
"S III","PrepCom",143,"overlapping"
"S III","PrepCom",143,"spawning"
"S III","PrepCom",143,"sites"
"S III","PrepCom",143,"straddling"
"S III","PrepCom",143,"highly"
"S III","PrepCom",143,"migratory"
"S III","PrepCom",143,"fish"
"S III","PrepCom",143,"stock"
"S III","PrepCom",143,"positive"
"S III","PrepCom",143,"spillover"
"S III","PrepCom",143,"effects"
"S III","PrepCom",143,"respective"
"S III","PrepCom",143,"fisheries"
"W VI","PrepCom",144,"ldcs"
"W VI","PrepCom",144,"sids"
"W VI","PrepCom",144,"entering"
"W VI","PrepCom",144,"negotiation"
"W VI","PrepCom",144,"considerable"
"W VI","PrepCom",144,"disadvantage"
"W VI","PrepCom",144,"relation"
"W VI","PrepCom",144,"oecd"
"W VI","PrepCom",144,"active"
"W VI","PrepCom",144,"abnj"
"O V","BBNJ WG",145,"bring"
"O V","BBNJ WG",145,"decision"
"O V","BBNJ WG",145,"establishment"
"O V","BBNJ WG",145,"mpas"
"O V","BBNJ WG",145,"relevant"
"O V","BBNJ WG",145,"organizations"
"O V","BBNJ WG",145,"request"
"O V","BBNJ WG",145,"cooperation"
"O II","BBNJ WG",146,"include"
"O II","BBNJ WG",146,"incorporate"
"O II","BBNJ WG",146,"concerns"
"O II","BBNJ WG",146,"international"
"O II","BBNJ WG",146,"community"
"O II","BBNJ WG",146,"setting"
"O II","BBNJ WG",146,"humanity"
"O II","BBNJ WG",146,"cooperate"
"O II","BBNJ WG",146,"safeguard"
"O II","BBNJ WG",146,"global"
"O II","BBNJ WG",146,"commons"
"O I","BBNJ WG",147,"identify"
"O I","BBNJ WG",147,"convergence"
"O I","BBNJ WG",147,"regulatory"
"O I","BBNJ WG",147,"gaps"
"O I","BBNJ WG",147,"implementation"
"O I","BBNJ WG",147,"gaps"
"O II","BBNJ WG",148,"facilitate"
"O II","BBNJ WG",148,"de"
"O II","BBNJ WG",148,"international"
"O II","BBNJ WG",148,"recognition"
"O II","BBNJ WG",148,"mpas"
"O II","BBNJ WG",148,"regulatory"
"O II","BBNJ WG",148,"measures"
"O II","BBNJ WG",148,"abnj"
"S I","BBNJ WG",149,"precautionary"
"S I","BBNJ WG",149,"principle"
"S I","BBNJ WG",149,"ecosystem"
"S I","BBNJ WG",149,"approach"
"S I","BBNJ WG",149,"fundamental"
"S I","BBNJ WG",149,"principles"
"O I","BBNJ WG",150,"set"
"O I","BBNJ WG",150,"explicit"
"O I","BBNJ WG",150,"goals"
"O I","BBNJ WG",150,"objectives"
"O I","BBNJ WG",150,"targets"
"O I","BBNJ WG",150,"protection"
"O I","BBNJ WG",150,"biodiversity"
"O I","BBNJ WG",150,"marine"
"O I","BBNJ WG",150,"environment"
"O I","BBNJ WG",150,"alongside"
"O I","BBNJ WG",150,"sustainable"
"O I","BBNJ WG",150,"resources"
"O III","BBNJ WG",151,"provide"
"O III","BBNJ WG",151,"basis"
"O III","BBNJ WG",151,"integrated"
"O III","BBNJ WG",151,"legal"
"O III","BBNJ WG",151,"institutional"
"O III","BBNJ WG",151,"framework"
"O III","BBNJ WG",151,"implement"
"O III","BBNJ WG",151,"key"
"O III","BBNJ WG",151,"provisions"
"O III","BBNJ WG",151,"unclos"
"O III","BBNJ WG",151,"protection"
"O III","BBNJ WG",151,"preservation"
"O III","BBNJ WG",151,"marine"
"O III","BBNJ WG",151,"environment"
"O I","BBNJ WG",152,"provide"
"O I","BBNJ WG",152,"basis"
"O I","BBNJ WG",152,"integrated"
"O I","BBNJ WG",152,"legal"
"O I","BBNJ WG",152,"institutional"
"O I","BBNJ WG",152,"framework"
"O I","BBNJ WG",152,"implement"
"O I","BBNJ WG",152,"key"
"O I","BBNJ WG",152,"provisions"
"O I","BBNJ WG",152,"unclos"
"O I","BBNJ WG",152,"protection"
"O I","BBNJ WG",152,"preservation"
"O I","BBNJ WG",152,"marine"
"O I","BBNJ WG",152,"environment"
"O V","BBNJ WG",153,"adopt"
"O V","BBNJ WG",153,"unanimity"
"O V","BBNJ WG",153,"overwhelming"
"O V","BBNJ WG",153,"majority"
"O V","BBNJ WG",153,"considerable"
"O V","BBNJ WG",153,"authority"
"O I","BBNJ WG",154,"conduct"
"O I","BBNJ WG",154,"investigations"
"O I","BBNJ WG",154,"initiate"
"O I","BBNJ WG",154,"judicial"
"O I","BBNJ WG",154,"proceedings"
"O I","BBNJ WG",154,"expeditious"
"O I","BBNJ WG",154,"basis"
"O I","BBNJ WG",154,"apply"
"O I","BBNJ WG",154,"sanctions"
"O I","BBNJ WG",154,"respect"
"O I","BBNJ WG",154,"violations"
"O I","BBNJ WG",154,"adequate"
"O I","BBNJ WG",154,"severity"
"O I","BBNJ WG",154,"secure"
"O I","BBNJ WG",154,"compliance"
"O I","BBNJ WG",154,"discourage"
"O I","BBNJ WG",154,"violations"
"O I","BBNJ WG",155,"enable"
"O I","BBNJ WG",155,"tools"
"O I","BBNJ WG",155,"mpas"
"O I","BBNJ WG",155,"cumulative"
"O I","BBNJ WG",155,"impact"
"O I","BBNJ WG",155,"assessments"
"O I","BBNJ WG",155,"strategic"
"O I","BBNJ WG",155,"planning"
"O I","BBNJ WG",155,"combining"
"O I","BBNJ WG",155,"overarching"
"O I","BBNJ WG",155,"framework"
"O I","BBNJ WG",155,"provided"
"O I","BBNJ WG",155,"unclos"
"O III","BBNJ WG",156,"promote"
"O III","BBNJ WG",156,"close"
"O III","BBNJ WG",156,"cooperation"
"O III","BBNJ WG",156,"coordination"
"O III","BBNJ WG",156,"coastal"
"O III","BBNJ WG",156,"regional"
"O III","BBNJ WG",156,"organisation"
"O III","BBNJ WG",156,"designation"
"O III","BBNJ WG",156,"mpas"
"T II","IGC",157,"impose"
"T II","IGC",157,"direct"
"T II","IGC",157,"controls"
"T II","IGC",157,"fishing"
"T II","IGC",157,"activities"
"T III","IGC",158,"impact"
"T III","IGC",158,"fisheries"
"T III","IGC",158,"fish"
"T III","IGC",158,"biodiversity"
"T III","IGC",158,"fish"
"T III","IGC",158,"species"
"T III","IGC",158,"fall"
