"SWOT","Negotiation.phase","msg.number","Message"
"W","PrepCom",58,"deal"
"W","PrepCom",58,"existing"
"W","PrepCom",58,"arrangements"
"W","PrepCom",59,"concept"
"W","PrepCom",59,"abnj"
"W","PrepCom",59,"defined"
"W","PrepCom",59,"unclos"
"W","PrepCom",59,"instrument"
"W","PrepCom",59,"ilbi"
"W","PrepCom",60,"inclusion"
"W","PrepCom",60,"impacts"
"W","PrepCom",60,"fisheries"
"W","PrepCom",60,"biodiversity"
"W","PrepCom",60,"question"
"W","PrepCom",61,"single"
"W","PrepCom",61,"universally"
"W","PrepCom",61,"recognized"
"W","PrepCom",61,"notion"
"W","PrepCom",61,"mpa"
"W","PrepCom",61,"related"
"W","PrepCom",61,"concepts"
"W","PrepCom",61,"definitions"
"O","PrepCom",62,"ensure"
"O","PrepCom",62,"species"
"O","PrepCom",62,"habitat"
"O","PrepCom",62,"conservation"
"O","PrepCom",62,"integrated"
"S","PrepCom",63,"delegations"
"S","PrepCom",63,"agreed"
"S","PrepCom",63,"poorly"
"S","PrepCom",63,"regulated"
"S","PrepCom",63,"fishing"
"S","PrepCom",63,"main"
"S","PrepCom",63,"threat"
"S","PrepCom",63,"marine"
"S","PrepCom",63,"biodiversity"
"S","PrepCom",63,"abnj"
"O","PrepCom",64,"enhance"
"O","PrepCom",64,"scientific"
"O","PrepCom",64,"exploration"
"O","PrepCom",64,"research"
"O","PrepCom",64,"knowledge"
"S","PrepCom",65,"development"
"S","PrepCom",65,"indonesia"
"S","PrepCom",65,"fair"
"S","PrepCom",65,"share"
"S","PrepCom",65,"marine"
"S","PrepCom",65,"resources"
"S","PrepCom",66,"abmts"
"S","PrepCom",66,"including"
"S","PrepCom",66,"mpas"
"S","PrepCom",66,"ensure"
"S","PrepCom",66,"conservation"
"S","PrepCom",66,"carry"
"S","PrepCom",66,"implications"
"S","PrepCom",66,"diverse"
"S","PrepCom",66,"range"
"S","PrepCom",66,"activities"
"S","PrepCom",66,"encompassing"
"S","PrepCom",66,"fisheries"
"S","PrepCom",66,"sector"
"S","PrepCom",66,"seabed"
"S","PrepCom",66,"mining"
"S","PrepCom",66,"pharmaceutical"
"S","PrepCom",66,"research"
"S","PrepCom",66,"focused"
"S","PrepCom",66,"mgrs"
"S","PrepCom",66,"maritime"
"S","PrepCom",66,"cargo"
"S","PrepCom",66,"shipping"
"S","PrepCom",67,"efforts"
"S","PrepCom",67,"promote"
"S","PrepCom",67,"participation"
"S","PrepCom",67,"sids"
"S","PrepCom",67,"ldcs"
"S","PrepCom",67,"negotiations"
"S","PrepCom",67,"including"
"S","PrepCom",67,"voluntary"
"S","PrepCom",67,"trust"
"S","PrepCom",67,"fund"
"S","PrepCom",67,"support"
"S","PrepCom",67,"attendance"
"S","PrepCom",67,"countries"
