"uniqueID","Publication.Year","Negotiation.phase","SWOT.Cats","SWOT","Category","Message"
170,2017,"PrepCom","W III","W","III","In the context of MPAs, the provisions of UNCLOS concerning the conservation of marine living resources (including fisheries) are of general nature."
171,2017,"PrepCom","W V","W","V","to not undermine existing structures the agreement may offer only partial solutions to the problems ensuing from fragmentation in high seas fisheries."
188,2017,"PrepCom","O I","O","I","to contain international law principles and standards on conservation and sustainable use of marine biodiversity in ABNJ applicable to all States Parties."
189,2017,"PrepCom","O II","O","II","colaborative framework among regional institutions."
190,2017,"PrepCom","W I","W","I","the term not undermine is ambiguous."
191,2017,"PrepCom","O VI","O","VI","The strengths of the Antartic Treaty System’s approach to spatial conservation and management are therefore possible examples for the Preparatory Committee to refer to in the development of the ILBI."
192,2017,"PrepCom","O VI","O","VI","to consider the views of developing States about the way the UNCLOS is being implemented and to revitalize some of the concepts developed in the UNCLOS."
195,2017,"PrepCom","O II","O","II","to include funding mechanisms and institutional arrangements to ensure the effectiveness of the BBNJ agreement"
201,2017,"PrepCom","O III","O","III","to implement strong complementary protection measures outside MPA boundaries, such as dynamic management, effective fisheries regulation and, increasingly, precautionary regulation of emerging activities for mobile species."
203,2016,"PrepCom","S III","S","III","An integrated approach was part of the mandate of the PrepCom."
208,2016,"PrepCom","O I","O","I","to mandate the use of the best available science."
209,2016,"PrepCom","O II","O","II","to involve all stakeholders, ranging from the general public, law of the sea experts, intellectual property rights experts, and others to have a comprehensive view of its national interest."
210,2016,"PrepCom","S III","S","III","the potential establishment of MPAs overlapping with the spawning sites of a straddling or highly-migratory fish stock could have positive spillover effects for the respective fisheries."
224,2016,"PrepCom","W VI","W","VI","LDCs and SIDS are entering into the negotiation at a considerable disadvantage in relation to OECD states, many of which are among those most active in ABNJ today."
226,2015,"BBNJ WG","O V","O","V","to bring the decision on the establishment of MPAs to the relevant organizations and request their cooperation."
242,2014,"BBNJ WG","O II","O","II","to include and incorporate the concerns of the international community, setting an example for how humanity can cooperate to safeguard our global commons."
245,2014,"BBNJ WG","O I","O","I","to identify points of convergence regulatory gaps and implementation gaps."
248,2014,"BBNJ WG","O II","O","II","to facilitate de international recognition of MPAs or other regulatory measures in ABNJ."
249,2014,"BBNJ WG","S I","S","I","the precautionary principle and ecosystem approach are fundamental principles in the agreement."
270,2014,"BBNJ WG","O I","O","I","to set explicit goals, objectives, and targets for protection of biodiversity and the marine environment alongside sustainable use of resources."
271,2014,"BBNJ WG","O III","O","III","to provide the basis for a more integrated legal and institutional framework to further implement key provisions of the UNCLOS on the protection and preservation of the marine environment."
277,2013,"BBNJ WG","O I","O","I","to provide the basis for a more integrated legal and institutional framework to further implement key provisions of UNCLOS on the protection and preservation of the marine environment."
294,2012,"BBNJ WG","O V","O","V","to adopt the agreement by unanimity or an overwhelming majority of States would give it considerable authority."
297,2012,"BBNJ WG","O I","O","I","to conduct investigations, initiate judicial proceedings on an expeditious basis, and to apply sanctions in respect of violations that are adequate in severity to secure compliance and discourage violations."
305,2012,"BBNJ WG","O I","O","I","to enable tools such as MPAs, cumulative impact assessments and strategic planning, combining them into the overarching framework provided by the UNCLOS."
306,2012,"BBNJ WG","O III","O","III","to promote on close cooperation and coordination between the coastal state and the appropriate regional organisation in the designation of MPAs."
2,2021,"IGC","T II","T","II","the BBNJ agreement cannot impose any direct controls on fishing activities"
3,2020,"IGC","T III","T","III","The impact of fisheries on non-fish biodiversity and fish species that do not fall under existing instruments will remain without being assessed."
7,2020,"IGC","T II","T","II","Disagreement related to functions and powers of the Conference of Parties (COP)."
8,2020,"IGC","O IV","O","IV","to strengthen existing obligations such as cooperation and reporting."
9,2020,"IGC","O I","O","I","ABMTs in ABNJ may be adaptable to respond to dynamic ocean conditions and the impacts of climate change."
10,2020,"IGC","T II","T","II","Undermine the effectiveness, or objectives, of the existing bodies and instruments."
