"Category","Negotiation.phase","msg.number","Message"
"II","IGC",379,"applicable"
"II","IGC",379,"norms"
"II","IGC",379,"encourage"
"II","IGC",379,"countries"
"II","IGC",379,"cooperate"
"IV","IGC",380,"provide"
"IV","IGC",380,"alternative"
"IV","IGC",380,"forum"
"IV","IGC",380,"addressing"
"IV","IGC",380,"environmental"
"IV","IGC",380,"issues"
"IV","IGC",380,"affecting"
"IV","IGC",380,"abnj"
"IV","IGC",380,"offer"
"IV","IGC",380,"complementary"
"IV","IGC",380,"additional"
"IV","IGC",380,"opportunities"
"IV","IGC",380,"habitat"
"IV","IGC",380,"conservation"
"III","IGC",381,"threats"
"III","IGC",381,"transboundary"
"III","IGC",381,"pollution"
"III","IGC",381,"implementation"
"III","IGC",381,"based"
"III","IGC",381,"management"
"III","IGC",381,"tools"
"III","IGC",381,"including"
"III","IGC",381,"mpas"
"III","PrepCom",382,"learn"
"III","PrepCom",382,"regional"
"III","PrepCom",382,"experiences"
"III","PrepCom",382,"implement"
"III","PrepCom",382,"abmts"
"III","PrepCom",382,"mpas"
"III","PrepCom",382,"abnj"
"V","PrepCom",383,"options"
"V","PrepCom",383,"decision"
"V","PrepCom",383,"issues"
"V","PrepCom",383,"mpas"
"V","PrepCom",383,"completely"
"II","PrepCom",384,"conflict"
"II","PrepCom",384,"common"
"II","PrepCom",384,"heritage"
"II","PrepCom",384,"mankind"
"II","PrepCom",384,"freedom"
"II","PrepCom",384,"seas"
"II","PrepCom",384,"resolved"
"II","PrepCom",385,"engage"
"II","PrepCom",385,"cross"
"II","PrepCom",385,"disciplinary"
"II","PrepCom",385,"scientific"
"II","PrepCom",385,"communities"
"II","PrepCom",385,"legal"
"II","PrepCom",385,"experts"
"II","PrepCom",385,"enable"
"II","PrepCom",385,"science"
"II","PrepCom",385,"cooperation"
"II","PrepCom",385,"basis"
"II","PrepCom",385,"mutual"
"II","PrepCom",385,"benefit"
"II","PrepCom",385,"benefit"
"II","PrepCom",385,"mankind"
"II","PrepCom",386,"conflicting"
"II","PrepCom",386,"opinions"
"II","PrepCom",386,"governance"
"II","PrepCom",386,"framework"
"II","PrepCom",387,"create"
"II","PrepCom",387,"dispute"
"II","PrepCom",387,"settlement"
"II","PrepCom",387,"process"
"II","PrepCom",387,"resolve"
"II","PrepCom",387,"disagreements"
"II","PrepCom",387,"levels"
"II","PrepCom",387,"environmental"
"II","PrepCom",387,"protection"
"V","PrepCom",388,"establish"
"V","PrepCom",388,"institutionalized"
"V","PrepCom",388,"approach"
"V","PrepCom",388,"including"
"V","PrepCom",388,"monitoring"
"V","PrepCom",388,"scientific"
"V","PrepCom",388,"body"
"II","PrepCom",389,"balance"
"II","PrepCom",389,"individual"
"II","PrepCom",389,"stakeholders"
"II","PrepCom",389,"common"
"I","PrepCom",390,"gather"
"I","PrepCom",390,"scientific"
"I","PrepCom",390,"information"
"I","PrepCom",390,"marine"
"I","PrepCom",390,"biodiversity"
"I","PrepCom",390,"abnj"
"I","PrepCom",390,"wider"
"I","PrepCom",390,"global"
"I","PrepCom",390,"regional"
"I","PrepCom",390,"sectoral"
"I","PrepCom",390,"organizations"
"I","PrepCom",390,"share"
"I","PrepCom",390,"information"
"I","PrepCom",390,"parties"
"VI","PrepCom",391,"guided"
"VI","PrepCom",391,"principles"
"VI","PrepCom",391,"realism"
"VI","PrepCom",391,"effectiveness"
"VI","PrepCom",391,"responsibility"
"VI","PrepCom",391,"characteristics"
"VI","PrepCom",391,"developing"
"VI","PrepCom",391,"countries"
"VI","PrepCom",391,"lack"
"VI","PrepCom",391,"scientific"
"VI","PrepCom",391,"data"
"VI","PrepCom",391,"information"
"III","PrepCom",392,"include"
"III","PrepCom",392,"mpas"
"III","PrepCom",392,"marine"
"III","PrepCom",392,"spatial"
"III","PrepCom",392,"planning"
"III","PrepCom",392,"intrinsically"
"III","PrepCom",392,"linked"
"II","PrepCom",393,"enhance"
"II","PrepCom",393,"cooperation"
"II","PrepCom",393,"existing"
"II","PrepCom",393,"mechanisms"
"II","PrepCom",393,"protection"
"II","PrepCom",393,"marine"
"II","PrepCom",393,"environment"
"VI","PrepCom",394,"create"
"VI","PrepCom",394,"targeted"
"VI","PrepCom",394,"funding"
"VI","PrepCom",394,"innovative"
"VI","PrepCom",394,"finance"
"VI","PrepCom",394,"mechanisms"
"VI","PrepCom",395,"strengthen"
"VI","PrepCom",395,"unclos"
"VI","PrepCom",395,"capacity"
"VI","PrepCom",395,"building"
"VI","PrepCom",395,"foster"
"VI","PrepCom",395,"conservation"
"VI","PrepCom",395,"sustainable"
"I","PrepCom",396,"undermining"
"I","PrepCom",396,"existing"
"I","PrepCom",396,"organizations"
"I","PrepCom",396,"challenge"
"I","PrepCom",396,"context"
"I","PrepCom",396,"patchwork"
"I","PrepCom",396,"relevant"
"I","PrepCom",396,"sectoral"
"I","PrepCom",396,"regulations"
"I","PrepCom",396,"guidelines"
"I","PrepCom",396,"spread"
"I","PrepCom",396,"international"
"I","PrepCom",396,"bodies"
"II","BBNJ WG",397,"allowing"
"II","BBNJ WG",397,"rfmos"
"II","BBNJ WG",397,"submit"
"II","BBNJ WG",397,"proposals"
"II","BBNJ WG",397,"mpas"
"II","BBNJ WG",397,"attendant"
"II","BBNJ WG",397,"measures"
"II","BBNJ WG",397,"decision"
"II","BBNJ WG",397,"bodies"
"II","BBNJ WG",397,"enhance"
"II","BBNJ WG",397,"possibility"
"II","BBNJ WG",397,"compliance"
"II","BBNJ WG",397,"decision"
"II","BBNJ WG",397,"establish"
"II","BBNJ WG",397,"mpa"
"II","BBNJ WG",397,"proposed"
"III","BBNJ WG",398,"include"
"III","BBNJ WG",398,"provisions"
"III","BBNJ WG",398,"requiring"
"III","BBNJ WG",398,"exercise"
"III","BBNJ WG",398,"adequate"
"III","BBNJ WG",398,"control"
"III","BBNJ WG",398,"flag"
"III","BBNJ WG",398,"vessels"
"III","BBNJ WG",398,"beneficial"
"III","BBNJ WG",398,"owners"
"III","BBNJ WG",398,"nationals"
"III","BBNJ WG",398,"private"
"III","BBNJ WG",398,"public"
"II","BBNJ WG",399,"adoption"
"II","BBNJ WG",399,"modern"
"II","BBNJ WG",399,"principles"
"II","BBNJ WG",399,"ocean"
"II","BBNJ WG",399,"conservation"
"II","BBNJ WG",399,"management"
"II","BBNJ WG",399,"improve"
"II","BBNJ WG",399,"implementation"
"II","BBNJ WG",399,"existing"
"II","BBNJ WG",399,"regulatory"
"II","BBNJ WG",399,"framework"
"I","BBNJ WG",400,"designate"
"I","BBNJ WG",400,"global"
"I","BBNJ WG",400,"scientific"
"I","BBNJ WG",400,"body"
"I","BBNJ WG",400,"develop"
"I","BBNJ WG",400,"proposals"
"I","BBNJ WG",400,"mpas"
"I","BBNJ WG",400,"approved"
"I","BBNJ WG",400,"review"
"I","BBNJ WG",400,"assisted"
"I","BBNJ WG",400,"global"
"I","BBNJ WG",400,"level"
"I","BBNJ WG",400,"managed"
"I","BBNJ WG",400,"regional"
"I","BBNJ WG",400,"processes"
"III","BBNJ WG",401,"require"
"III","BBNJ WG",401,"parties"
"III","BBNJ WG",401,"competent"
"III","BBNJ WG",401,"regional"
"III","BBNJ WG",401,"sectoral"
"III","BBNJ WG",401,"organisations"
"III","BBNJ WG",401,"coordinate"
"III","BBNJ WG",401,"sectoral"
"III","BBNJ WG",401,"based"
"III","BBNJ WG",401,"measures"
"III","BBNJ WG",401,"integrate"
"III","BBNJ WG",401,"plans"
"III","BBNJ WG",401,"achieve"
"III","BBNJ WG",401,"healthy"
"III","BBNJ WG",401,"oceans"
"III","BBNJ WG",401,"marine"
"III","BBNJ WG",401,"ecosystems"
"III","BBNJ WG",401,"minimal"
"III","BBNJ WG",401,"loss"
"III","BBNJ WG",401,"adverse"
"III","BBNJ WG",401,"impacts"
"III","BBNJ WG",401,"marine"
"III","BBNJ WG",401,"biodiversity"
"III","BBNJ WG",401,"abnj"
"II","BBNJ WG",402,"parties"
"II","BBNJ WG",402,"commit"
"II","BBNJ WG",402,"adopt"
"II","BBNJ WG",402,"measures"
"II","BBNJ WG",402,"encourage"
"II","BBNJ WG",402,"compliance"
"II","BBNJ WG",402,"guarantee"
"II","BBNJ WG",402,"stakeholder"
"II","BBNJ WG",402,"engages"
"II","BBNJ WG",402,"activities"
"II","BBNJ WG",402,"contrary"
"II","BBNJ WG",402,"principles"
"II","BBNJ WG",402,"purposes"
"V","IGC",403,"creation"
"V","IGC",403,"council"
"V","IGC",403,"ocean"
"V","IGC",403,"custodians"
"V","IGC",403,"provide"
"V","IGC",403,"voice"
"V","IGC",403,"ocean"
"V","IGC",403,"abnj"
"II","IGC",404,"lack"
"II","IGC",404,"responsability"
"II","IGC",404,"coastal"
"II","IGC",404,"guarantee"
"II","IGC",404,"effectivesses"
"II","IGC",404,"actions"
"II","IGC",404,"abmt"
"II","IGC",404,"create"
"II","IGC",404,"gaps"
"II","IGC",404,"conservation"
"II","IGC",404,"actions"
"II","IGC",405,"identifying"
"II","IGC",405,"stakeholder"
"II","IGC",405,"conflict"
"II","IGC",405,"underlying"
"II","IGC",405,"causation"
"II","IGC",405,"aid"
"II","IGC",405,"achieving"
"II","IGC",405,"mutually"
"II","IGC",405,"agreeable"
"II","IGC",405,"abideable"
"II","IGC",405,"middle"
"II","IGC",405,"ground"
"II","IGC",405,"management"
"II","IGC",405,"options"
"III","IGC",406,"implementation"
"III","IGC",406,"abmts"
"III","IGC",406,"mpas"
"III","IGC",406,"seas"
"III","IGC",406,"depend"
"III","IGC",406,"exclusively"
"III","IGC",406,"flag"
"III","IGC",406,"exercising"
"III","IGC",406,"freedoms"
"III","IGC",406,"seas"
"III","IGC",406,"relevant"
"III","IGC",406,"mpas"
"III","IGC",406,"parties"
"III","IGC",406,"relevant"
"III","IGC",406,"regional"
"III","IGC",406,"instrument"
"III","IGC",406,"body"
"I","IGC",407,"delegates"
"I","IGC",407,"continued"
"I","IGC",407,"struggle"
"I","IGC",407,"define"
"I","IGC",407,"abmts"
"I","IGC",407,"mpas"
"I","IGC",407,"related"
"I","IGC",408,"suggestions"
"I","IGC",408,"information"
"I","IGC",408,"related"
"I","IGC",408,"relevant"
"I","IGC",408,"stakeholder"
"I","IGC",408,"act"
"I","IGC",408,"results"
"I","IGC",408,"reviewing"
"I","IGC",408,"mechanisms"
"II","IGC",409,"elements"
"II","IGC",409,"pre"
"II","IGC",409,"existing"
"II","IGC",409,"ocean"
"II","IGC",409,"governance"
"II","IGC",409,"regime"
"II","IGC",409,"political"
"II","IGC",409,"geography"
"II","IGC",409,"oceans"
"II","IGC",409,"borders"
"II","IGC",409,"undefined"
"II","IGC",409,"contested"
"IV","IGC",410,"divergences"
"IV","IGC",410,"management"
"IV","IGC",410,"measures"
"IV","IGC",410,"supervisory"
"IV","IGC",410,"measures"
"IV","IGC",410,"seas"
"IV","IGC",410,"mpas"
"II","IGC",411,"igc"
"II","IGC",411,"strive"
"II","IGC",411,"ensure"
"II","IGC",411,"universal"
"II","IGC",411,"support"
"II","IGC",411,"including"
"II","IGC",411,"provisions"
"II","IGC",411,"responsibility"
"II","IGC",411,"liability"
"II","IGC",412,"undermine"
"II","IGC",412,"existing"
"II","IGC",412,"relevant"
"II","IGC",412,"legal"
"II","IGC",412,"instruments"
"II","IGC",413,"opportunity"
"II","IGC",413,"articulate"
"II","IGC",413,"effect"
"II","IGC",413,"duty"
"II","IGC",413,"protect"
"II","IGC",413,"preserve"
"II","IGC",413,"marine"
"II","IGC",413,"environment"
"II","IGC",413,"advance"
"II","IGC",413,"integrated"
"II","IGC",413,"cross"
"II","IGC",413,"sectoral"
"II","IGC",413,"institutional"
"II","IGC",413,"mechanisms"
"II","IGC",413,"ensure"
"II","IGC",413,"implementation"
"II","IGC",414,"consultation"
"II","IGC",414,"undermining"
"II","IGC",414,"avoided"
