PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
2;351;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
2;352;1.092738669;;1;;1.092738669
2;353;0.600712521;1.221835857;2;0.911274189;0.911274189
2;355;;0.467400701;1;;0.467400701
2;357;0.108686373;;1;;0.108686373
2;359;0.600712521;1.221835857;2;0.911274189;0.911274189
2;383;;-1.041469612;1;;-1.041469612
2;384;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;385;2.568817114;1.221835857;2;1.895326486;1.895326486
2;386;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
2;387;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
2;390;0.108686373;;1;;0.108686373
2;391;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;393;;1.221835857;1;;1.221835857
2;394;0.600712521;0.467400701;2;0.534056611;0.534056611
2;395;0.600712521;0.467400701;2;0.534056611;0.534056611
2;396;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
2;416;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
2;417;;0.467400701;1;;0.467400701
2;418;0.600712521;;1;;0.600712521
2;419;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
2;420;0.600712521;1.976271013;2;1.288491767;1.288491767
2;423;;1.221835857;1;;1.221835857
2;426;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
2;427;0.600712521;0.467400701;2;0.534056611;0.534056611
2;429;-1.367392072;;1;;-1.367392072
2;444;0.600712521;1.221835857;2;0.911274189;0.911274189
2;445;;-1.041469612;1;;-1.041469612
2;446;0.600712521;0.467400701;2;0.534056611;0.534056611
2;447;0.108686373;;1;;0.108686373
2;448;;0.467400701;1;;0.467400701
2;449;1.584764818;1.221835857;2;1.403300337;1.403300337
2;450;0.600712521;0.467400701;2;0.534056611;0.534056611
2;451;;0.467400701;1;;0.467400701
2;452;0.108686373;0.467400701;2;0.288043537;0.288043537
2;453;1.092738669;0.467400701;2;0.780069685;0.780069685
2;454;0.108686373;;1;;0.108686373
2;468;-1.367392072;-0.287034455;2;-0.827213263;-0.827213263
2;469;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
2;470;0.600712521;0.467400701;2;0.534056611;0.534056611
2;471;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
2;473;0.600712521;-0.287034455;2;0.156839033;0.156839033
2;474;-0.383339775;-1.041469612;2;-0.712404693;-0.712404693
2;475;0.600712521;;1;;0.600712521
2;476;;0.467400701;1;;0.467400701
2;491;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
2;492;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
2;493;0.600712521;;1;;0.600712521
2;495;0.108686373;;1;;0.108686373
2;496;0.600712521;1.976271013;2;1.288491767;1.288491767
2;497;-0.875365923;;1;;-0.875365923
2;506;;1.221835857;1;;1.221835857
