PeriodCODE;index_KM;z-score_afinn;z-score_bing;count;mean_score;all_451z-scores
3;404;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
3;405;-0.383339775;-0.287034455;2;-0.335187115;-0.335187115
3;406;;0.467400701;1;;0.467400701
3;407;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;409;;-1.041469612;1;;-1.041469612
3;411;1.092738669;-0.287034455;2;0.402852107;0.402852107
3;412;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;413;1.584764818;1.976271013;2;1.780517915;1.780517915
3;414;0.108686373;0.467400701;2;0.288043537;0.288043537
3;415;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;435;;-1.041469612;1;;-1.041469612
3;436;-1.367392072;-1.795904768;2;-1.58164842;-1.58164842
3;437;0.108686373;;1;;0.108686373
3;438;;0.467400701;1;;0.467400701
3;439;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
3;440;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;441;0.108686373;-1.041469612;2;-0.466391619;-0.466391619
3;442;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;459;0.600712521;1.221835857;2;0.911274189;0.911274189
3;460;;-1.041469612;1;;-1.041469612
3;461;;-1.041469612;1;;-1.041469612
3;463;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
3;464;1.092738669;0.467400701;2;0.780069685;0.780069685
3;466;0.108686373;1.221835857;2;0.665261115;0.665261115
3;481;;0.467400701;1;;0.467400701
3;482;;-1.041469612;1;;-1.041469612
3;484;0.600712521;0.467400701;2;0.534056611;0.534056611
3;485;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;487;;-0.287034455;1;;-0.287034455
3;501;;0.467400701;1;;0.467400701
3;502;2.076790966;1.976271013;2;2.02653099;2.02653099
3;503;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
3;504;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;518;0.108686373;0.467400701;2;0.288043537;0.288043537
3;520;;-1.041469612;1;;-1.041469612
3;521;;0.467400701;1;;0.467400701
3;530;0.108686373;0.467400701;2;0.288043537;0.288043537
3;532;-2.351444368;-1.795904768;2;-2.073674568;-2.073674568
3;540;-0.875365923;-1.041469612;2;-0.958417767;-0.958417767
3;541;0.108686373;;1;;0.108686373
3;543;0.600712521;1.976271013;2;1.288491767;1.288491767
3;550;;-1.041469612;1;;-1.041469612
3;554;-3.335496664;-1.795904768;2;-2.565700716;-2.565700716
3;555;0.600712521;;1;;0.600712521
3;556;;-1.041469612;1;;-1.041469612
3;557;0.108686373;;1;;0.108686373
3;560;0.108686373;0.467400701;2;0.288043537;0.288043537
3;561;0.600712521;0.467400701;2;0.534056611;0.534056611
3;562;0.108686373;1.976271013;2;1.042478693;1.042478693
3;564;0.108686373;1.221835857;2;0.665261115;0.665261115
3;565;-1.85941822;-1.041469612;2;-1.450443916;-1.450443916
3;566;2.568817114;1.221835857;2;1.895326486;1.895326486
3;568;0.600712521;0.467400701;2;0.534056611;0.534056611
3;569;-2.351444368;-2.550339924;2;-2.450892146;-2.450892146
3;570;0.108686373;0.467400701;2;0.288043537;0.288043537
3;572;;0.467400701;1;;0.467400701
3;573;-1.85941822;-0.287034455;2;-1.073226338;-1.073226338
3;574;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;576;;0.467400701;1;;0.467400701
3;577;-2.351444368;-1.795904768;2;-2.073674568;-2.073674568
3;578;;0.467400701;1;;0.467400701
3;581;0.600712521;0.467400701;2;0.534056611;0.534056611
3;583;0.600712521;;1;;0.600712521
3;584;0.600712521;0.467400701;2;0.534056611;0.534056611
3;587;0.108686373;0.467400701;2;0.288043537;0.288043537
3;589;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;590;0.108686373;1.221835857;2;0.665261115;0.665261115
3;591;0.108686373;1.976271013;2;1.042478693;1.042478693
3;592;0.108686373;1.221835857;2;0.665261115;0.665261115
3;593;;-1.041469612;1;;-1.041469612
3;594;0.108686373;1.221835857;2;0.665261115;0.665261115
3;595;0.108686373;;1;;0.108686373
3;596;1.092738669;1.221835857;2;1.157287263;1.157287263
3;597;-0.875365923;-0.287034455;2;-0.581200189;-0.581200189
3;598;;-1.041469612;1;;-1.041469612
3;599;;-1.041469612;1;;-1.041469612
3;600;0.600712521;0.467400701;2;0.534056611;0.534056611
3;601;;-1.041469612;1;;-1.041469612
3;602;-1.367392072;;1;;-1.367392072
3;603;1.092738669;0.467400701;2;0.780069685;0.780069685
3;604;;-1.041469612;1;;-1.041469612
3;605;-1.367392072;-1.041469612;2;-1.204430842;-1.204430842
3;606;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
3;607;0.108686373;-0.287034455;2;-0.089174041;-0.089174041
3;608;-1.367392072;0.467400701;2;-0.449995685;-0.449995685
